ID,Built-In (no install),Online (no install),Need to install,Works w/o internet,FREE,Trial,Lifetime License,Subscription,Spare1,Reading,Writing,Exec / Focus,Cognitive,Vision,Braille,Hearing,Physical,Speech/Comm,Training / Therapy,Windows,Macintosh,Chromebook,iPad (iPadOS),iPhone (iOS),Android,(**online - mark all),Works with which OS versions,ID TAG,COMPANY,PRODUCT/FEATURE NAME,DESCRIPTION,VENDOR'S WEBSITE DESC LINK,YOUTUBE VIDEOS,AToD installer (short name),Data-Entry-Person NOTES,INTERNAL NOTES,AUDITOR NOTES
12,B,,,,F,,,,,,,,,,,H,,,,,M,,P,I,,,,apple_audio_balance,Apple,Audio Balance,"You can adjust left-right stereo balance, and—with supported headphones—amplify soft sounds and adjust certain frequencies to best suit your hearing needs. You can also use data from an audiogram to improve the accuracy and sound quality of your headphones.",https://support.apple.com/guide/iphone/adjust-audio-settings-iphb80ab7516/17.0/ios/17.0,https://www.youtube.com/watch?v=zdyLeSmio3c&pp=ygUTYXBwbGUgYXVkaW8gYmFsYW5jZQ%3D%3D,,,,The description is good but i think it could be clearer in describing the product.This tool helps with hearing. This video does a better job of showing the settings and how one can change them. https://youtu.be/zdyLeSmio3c?feature=shared 
13,B,,,,F,,,,,,,,C,V,B,,,,,,M,,P,I,,,iOS 12 and later,apple_audiodescriptions,Apple,Audio Descriptions,"If the content on your screen contains audio descriptions, your device will automatically play the audio description when this feature is turned on. Audio description is audio added to decribe important information presented visually but not obvious from the audio.  It is usually provided as a separate audio track that for a clip, show, or movie.   Audio Descriptions are also helpful for some people with cognitive disabilites where they may not pick up all visual information presented.",https://support.apple.com/guide/iphone/hear-audio-descriptions-iph4768b3f5c/17.0/ios/17.0,https://www.youtube.com/watch?v=5iskPC1uFf8&pp=ygUXYXBwbGUgYXVkaW8gZGVzY3JpcHRpb24%3D,,,,"1. Video Link is a playlist. Here is a suggested video: https://www.youtube.com/watch?v=rm7o2p0UCnQ
2. I'm not sure if the ""Em dash"" is friendly/plain enough as a description. I suggest: If the content on your screen includes audio descriptions, they will automatically play when this feature is turned on. Audio descriptions are separate tracks that narrate or describe the visual content of a clip, show, or movie.
3. Requires iOS system iOS 12 and later."
14,B,,,,F,,,,,,,,,V,,,,,,,,,P,I,,,"iPhone X or later
 iPad with iOS 12 or iPadOS",apple_auto_brightness,Apple,Auto-Brightness,"The Auto-Brightness feature on Apple devices automatically adjusts the screen brightness based on the surrounding lighting conditions. This feature uses the ambient light sensor built into the device to detect the level of light in your environment, then dims or brightens the screen accordingly. Auto-Brightness helps improve visibility in different lighting situations, reduces eye strain, and conserves battery life by optimizing screen brightness.",https://support.apple.com/en-us/109351,https://www.youtube.com/watch?v=dPZ9hvOXefc&ab_channel=LoFiAlpaca,,,,
15,B,,,,F,,,,,R,W,E,C,V,,H,P,S,,,,,,I,,,iOS 15 or later,apple_back_tap,Apple,Back Tap,"You can double-tap or triple-tap the back of iPhone to perform actions more quickly. You can set your own double tap or triple tap shortcuts, such as turning on an accessibility feature, running a shortcut, and more.",https://support.apple.com/guide/iphone/back-tap-iphaa57e7885/ios,https://www.youtube.com/watch?v=Z4ZeFJ65iXc,,,,"Description should start with the name of the feature. For example: BackTap, an iOS built-in feature, lets you double-tap..."
16,B,,,,F,,,,,,,E,C,,,,,,,,,,P,I,,,"iOS and iPadOS 15 or later, ",apple_background_sound_iOS,Apple,Background Sounds - iOS,"Background Sounds plays ambient soundscapes in the background with your iPhone, iPad, or Mac. You can choose different background sounds from ocean, rain, bright noise sounds, and more.","https://support.apple.com/en-us/109346
","https://www.youtube.com/shorts/DGuA4XYc7kI
https://www.youtube.com/shorts/SpH6tpifuTo",,,,
17,B,,,,F,,,,,,,E,C,,,,,,,,M,,,,,,macOS Ventura or later,apple_background_sounds_macOS,Apple,Background Sounds - Mac,"Plays ambient background sounds, such as ocean waves or rain, to mask unwanted environmental noise to minimize distraction and help you focus, stay calm, or rest.",https://support.apple.com/guide/mac-help/play-background-sounds-mchl3061cdc6/mac,https://youtu.be/oI2DgR6j9fg,,,,"This video shows how to navigate this feature. https://youtu.be/-jlydD6v2oE?feature=shared. This tool is cognitive although it is through hearing that it helps.
1. Could add more description. Suggestion: ""You can have iPhone, iPad, or your Mac play ambient background sounds, such as ocean waves or rain, to help you focus or rest. You can mask unwanted environmental noise to minimize distraction and help you focus, stay calm, or rest.""
2. iOS 15 or later, macOS 13 or later.
3. I suggest adding ""Reading"", since it mentioned helping people stay focused. There some other users who mentioned this: https://education.apple.com/story/250012609#:~:text=A%20tool%20I%20use%2C%20and,it%20and%20turned%20it%20off."
18,B,,,,F,,,,,R,,,C,,,,,,,,,,P,I,,,,apple_notifications,Apple,Banner style,"For some users, push notifications on mobile devices do not remain on the screen long enough to read them fully by default. Here users can modify how long a notification appears.
",https://support.apple.com/guide/iphone/change-notification-settings-iph7c3d96bab/18.0/ios/18.0,https://youtu.be/UMUHZmselio?feature=shared,,,,
19,B,,,,F,,,,,,,,,,,h,,,,,,,,I,,,,apple_blink_light_for_notifications,Apple,Blink the iPhone light for notifications,"You can set the iPhone indicator light to blink when you receive a notification. Indicator light can be useful if you can’t hear the sounds that announce incoming calls or other alerts, or if you might miss audible alerts in a noisy environment.",https://support.apple.com/guide/iphone/flash-the-indicator-light-for-notifications-iph79ced06b1/17.0/ios/17.0,"https://www.youtube.com/shorts/UKzcLeEClCM
https://www.youtube.com/watch?v=BzRxEJu4K7M&pp=ygUoQmxpbmsgdGhlIGlQaG9uZSBsaWdodCBmb3Igbm90aWZpY2F0aW9ucw%3D%3D",,,,"youtube video - entire playlist of accessibility features, not specific
1. Suggested Video: https://www.youtube.com/watch?v=GpnFpW3Q4cU
2. The official feature name is LED Flash for Alerts. Should we change it?
3. Also works for ipad: https://support.apple.com/guide/ipad/flash-the-indicator-light-for-notifications-ipad4259a6f0/ipados#:~:text=The%20indicator%20light%20is%20the,on%20LED%20Flash%20for%20Alerts
4. System Requirements: iPadOS 15 or later, iOS 15 or later"
20,B,,,,F,,,,,,,,,V,,,,,,,,,P,I,,,iOS 10 and later.,apple_color_filters,Apple,Color Filters,"The iOS Color Filters modify the colors on the display to help a person with color blindness differentiate between the colors that they have difficulty seeing. It includes four color blindness filter patterns, a color tint option with hue control, and an intensity setting to adjust how much the colors are shifted.",https://support.apple.com/en-us/111773,"https://www.youtube.com/watch?v=GQKD29T6KS8&pp=ygUSYXBwbGUgY29sb3IgZmlsdGVy0gcJCQMKAYcqIYzv
https://www.youtube.com/watch?v=0PANMF0HZog&pp=ygUSYXBwbGUgY29sb3IgZmlsdGVy",,,,"1. Last sentenced can be shortened to ""It includes four color blindness filter patterns, a color tint option with hue control, and an intensity setting to adjust how much the colors are shifted."""
21,B,,,,F,,,,,,,,,,,,P,,,,M,,P,I,,,iOS 16 and up; macOS Monterey (12) and up,apple_control_nearby_devices,Apple,Control Nearby Devices,"Apple's Control Nearby Devices feature allows users to control and interact with nearby Apple devices, such as an iPhone, iPad, or Mac, using another device. ","https://support.apple.com/en-ie/guide/iphone/iphd9bc05ba9/ios#:~:text=Go%20to%20Settings%20%3E%20Accessibility%20%3E%20Control,control%2C%20then%20tap%20a%20button.",https://youtu.be/V_Vd73nhOMg?si=WZtoghWKd7Hje3sQ,,,,- looks good!
22,B,,,,F,,,,,,,,,,,H,,,,,,,P,I,,,,conversation_boost,Apple,Conversation Boost,"Conversation Boost is a feature on AirPods Pro that helps users hear conversations more clearly in noisy environments. It uses the AirPods' microphones to focus on the voice of the person in front of the user, making it easier to follow what they’re saying. This feature is useful for those with mild hearing difficulties or when background noise makes conversations or computer output hard to hear. It can be adjusted through iPhone or iPad settings.",https://support.apple.com/en-us/102663,https://youtu.be/e26AU8XAZiE,,,,- Language of description sounds promotional ✔
23,B,,,,F,,,,,,,,,,,H,,,,,,,,I,,,,apple_customize_captions,Apple,Customize subtitles and captions,"iPhone can provide subtitles, closed captions, and transcriptions so you can follow along more easily with audio and video.",https://support.apple.com/guide/iphone/display-subtitles-and-captions-iph3e2e23d1/17.0/ios/17.0,"https://www.youtube.com/watch?v=B2qZCqaAi_Y&pp=ygUYYXBwbGUgY2xvc2VkIGNhcHRpb24gaU9T
https://www.youtube.com/watch?v=E-OBe4wuolU&pp=ygUYYXBwbGUgY2xvc2VkIGNhcHRpb24gaU9T",,,,"28 H - O missing
works for iPad also - description can also include this
youtube video - entire playlist of accessibility features, not specific"
24,B,,,,F,,,,,,,,,V,B,,,,,,M,,P,I,,,,apple_detectionmode,Apple,Detection Mode,"Detection Mode, found in the Magnifier app, has five features that can be used to detect people or doors, get image descriptions of your objects, and to read text and labels.",https://support.apple.com/guide/iphone/magnify-nearby-objects-iphe867dc99c/17.0/ios/17.0#iph5f83dd8ba,"https://www.youtube.com/watch?v=Hitk-3GClJU&pp=ygUWYXBwbGUgRGV0ZWN0aW9uIE1vZGUJCQ%3D%3D
https://www.youtube.com/watch?v=-DfRoZp0AUw&pp=ygUWYXBwbGUgRGV0ZWN0aW9uIE1vZGUJCQ%3D%3D",,,,"1. Link to specific youtube video tutorial, rather than a playlist - make sure its in depth and not just a quick intro
2. Add which iOS versions it's available on."
25,B,,,,F,,,,,,W,,C,,,,P,,,,,,P,I,,,iOS 12 and later,apple_dictation_iphone,Apple,"Dictation (iPhone, iPad)","With Dictation, you can enter text just by speaking, anywhere that you can type it.  You can also use typing and Dictation together—the keyboard stays open during Dictation so you can easily switch between voice and touch to enter text.","https://support.apple.com/guide/iphone/dictate-text-iph2c0651d2/ios#:~:text=Turn%20on%20Dictation,prompt%20appears%2C%20tap%20Enable%20Dictation.","https://youtu.be/PT7TFVByKeI?si=nBt4xdoytSkf9YaL
https://www.youtube.com/watch?v=samh_nAgMFw",,,,"1. Dictation also helps people write more easily (e.g. dysgraphia, dyslexia), so we should add Reading too? 
2. If we think the official video is a little outdated, here's a newer video (unofficial): https://www.youtube.com/watch?v=samh_nAgMFw"
26,B,,,,F,,,,,,W,,C,,,,P,,,,M,,,,,,macOS 10 (Sierra) and later,apple_dictation_mac,Apple,Dictation (Mac),"With Dictation, you can enter text just by speaking, anywhere that you can type it.  You can also use keyboard typing and Dictation together—the keyboard stays open during Dictation so you can easily switch between voice and keyboard to enter text.",https://support.apple.com/guide/mac-help/use-dictation-mh40584/mac,"https://www.youtube.com/watch?v=Zx2W0GcNahA
https://www.youtube.com/watch?v=ITgeDj-6kPM",,"Fixed tutorial video, OS, and added Reading",,"1. Dictation appears in mac 10.12 (Sierra) and later. 
2. Dictation also helps people write more easily (e.g. dysgraphia, dyslexia), so we should add Reading too? 
3. If we want a tutorial for the newer version, here's my suggestion: https://www.youtube.com/watch?v=ITgeDj-6kPM
4. Need to change the word ""impairment"". Suggest change: ""Apple’s Mac Dictation is a built-in speech-to-text tool helps you convert spoken words into text on their Mac computers. It is useful for people who prefer speaking over typing or for those with mobility needs. Mac Dictation is easy to access and integrates seamlessly across macOS applications, making it versatile for a variety of tasks"""
27,B,,,,F,,,,,,,,,V,,,,,,,M,,P,I,,,"macOS High Sierra or later, iOS 12.5 or later",apple_differentiate_without_color,Apple,Differentiate Without Color,Replaces user interface items that rely solely on color to convey information with alternatives.,https://support.apple.com/guide/mac-help/change-display-settings-for-accessibility-unac089/mac,https://youtu.be/uviTMBdcAWw,,,,Description should start with the name of the feature.
28,B,,,,F,,,,,,,,C,,,,P,,,,M,,P,I,,,"iOS 16 & Up
macOS Ventura (13) and later",apple_dim_flashlight,Apple,Dim Flash Lights,"The Dim Flashing Lights feature in iOS is an accessibility option that reduces the intensity of flashing or strobe effects on screen, aiming to make the device more comfortable for individuals sensitive to flashing lights, such as those with epilepsy or sensory sensitivities.",https://support.apple.com/guide/mac-help/stop-or-reduce-onscreen-motion-mchlc03f57a1/mac,https://www.youtube.com/watch?v=E2TTWYUyBqw&ab_channel=Technomentary,,,,The vendor description is specific to Mac (I can't seem to find any specific information about this feature)
29,B,,,,F,,,,,,,,,V,,,,,,,,,,I,,,iOS 12 or later,apple_largetext,Apple,Display Zoom,"If you choose ""Larger Text"" in display zoom, you can magnify and enlarge the entire iPhone screen. Everything you see on your phone, including all installed apps, is automatically enlarged. You can't make adjustments to it.","https://support.apple.com/guide/iphone/customize-the-text-size-and-zoom-setting-iphd6804774e/ios#:~:text=Magnify%20the%20entire%20iPhone%20screen,Done%2C%20then%20tap%20Use%20Zoomed.",https://www.youtube.com/watch?v=nriaTtXH5to,,,,
30,B,,,,F,,,,,,,,,,,,P,,,,,,P,I,,,iOS 18 & iPhone 12 and up,apple_eyetracking,Apple,Eye Tracking,"Powered by artificial intelligence, Eye Tracking gives users a built-in option for navigating iPad and iPhone with just their eyes. Designed for users with physical disabilities, Eye Tracking uses the front-facing camera to set up and calibrate in seconds, and with on-device machine learning, all data used to set up and control this feature is kept securely on device, and isn’t shared with Apple.",https://support.apple.com/guide/iphone/control-iphone-with-the-movement-of-your-eyes-iph66057d0f6/ios,"https://www.youtube.com/watch?v=SGeCrfL8teo
https://youtu.be/90fxTktTVCk",,,,
31,B,,,,F,,,,,,,,,,,,P,,,,M,,P,I,,,"iOS 13 and up, iPadOS 13 and up, macOS Mojave (10.14) and up",apple_full_keyboard_access,Apple,Full Keyboard Access,Apple's Full Keyboard Access feature allows users to navigate their Mac or iPhone using a keyboard instead of a mouse or trackpad,"https://support.apple.com/en-my/guide/mac-help/mchlc06d1059/mac#:~:text=With%20Full%20Keyboard%20Access%20turned,and%20size%20of%20the%20highlight.",https://youtu.be/_GpfUkNcFQE?si=uCmu_l_E2-oW971X,,,,- looks good!
32,B,,,,F,,,,,,,E,C,,,,,,,,,,P,I,,,"iOS 6 and later., iPadOS: iPadOS 13 and later.",apple_guidedaccess,Apple,Guided Access,"Guided Access helps you stay focused on the task (or app) at hand. You can limit a device to stay on one app at a time by deactivating the Home button on iPhone and iPad — or gesture on iPhone, iPad, and Apple Vision Pro. You can even restrict access to the keyboard — or touch input on certain areas of the screen on iPhone or iPad — so wandering taps and gestures won’t distract from learning.",https://support.apple.com/guide/iphone/lock-iphone-to-one-app-iph7fad0d10/ios,https://youtu.be/G_O0iq4WwMs?si=SpM2Hdzt3By1yEjC,,,,"If the tool also prevents accidental physical interactions with the device, such as unintended touches or gestures, it might also be relevant under the physical category, particularly for users with motor difficulties."
33,B,,,,F,,,,,,,,,,,,P,,,,,,P,I,,,iOS 12 or later,apple_haptic_touch,Apple,Haptic Touch,"You can adjust the length of time when you press on the display. For instance, you can change the touch duration to fast, default, or slow your touch takes to reveal content previews actions, and contextual menus. ",https://support.apple.com/guide/iphone/adjust-how-iphone-responds-to-your-touch-iph77bcdd132/ios,"https://www.youtube.com/watch?v=Wrz0jSImF8g&pp=ygUSYXBwbGUgSGFwdGljIHRvdWNo0gcJCQMKAYcqIYzv
https://www.youtube.com/watch?v=bJXtMDAz-hY",,,,
34,B,,,,F,,,,,,,,,,,H,,,,,,,P,I,,,iOS 14 or later. Works with supported Apple and Beats headphones only.,apple_headphone_accomodations,Apple,Headphone Accomodations,"Headphone Accomodations allows users of supported Apple and Beats headphone to optimize tone that boosts certain frequencies ranges, adjust the boost for soft sounds, and choose which media these settings will apply to.",https://support.apple.com/en-us/102663,https://youtu.be/vbUPlArgCj0,,,,
35,B,,,,F,,,,,,,,,,,H,,,,,,,P,I,,,iOS 14 and up,apple_headphone_notifications,Apple,Headphone Notifications,"This setting protects your hearing, iPhone sends a notification if you've been listening to loud headphone audio for long enough to affect your hearing. ",https://support.apple.com/en-gu/guide/iphone/iph0596a9152/18.0/ios/18.0,https://www.youtube.com/watch?v=LLnxWXzlLWs&pp=ygUWYXBwbGUgaGVhZHBob25lIHNhZmV0eQ%3D%3D,,,,
36,B,,,,F,,,,,,,,,,,H,,,,,,,P,I,,,,apple_hearing_aid_compatibility,Apple,Hearing Aid Compatibility,"Hearing aid compatibility can enhance audio quality and reduce interference for certain models. It is important to note that compatibility ratings do not guarantee that a specific hearing aid will function optimally with a particular phone. In some cases, hearing aids may perform effectively even with phones that do not meet FCC compatibility standards. To ensure a successful pairing, it is recommended to test the devices together before making a purchase.",https://support.apple.com/en-us/106349,https://www.youtube.com/watch?v=9pI-xfSJTMw&t=2s,,,,"- Make the description more clear about what the feature actually does, avoid using language such as ""to ensure a successful pairing"" 
- What OS version does this work with?"
37,B,,,,F,,,,,,,,,,,,P,,,,,,P,I,,,iOS 18,apple_hold_duration,Apple,Hold Duration,"If you have difficulties with hand tremors, dexterity, or fine motor control, you can adjust how the iPhone touchscreen responds to tap, swipe, and touch-and-hold gestures. With this feature you can have iPhone recognize faster or slower touches and ignore multiple touches. You can also prevent iPhone from waking when you touch the screen, or turn off Shake to Undo if you unintentionally shake iPhone. ","https://support.apple.com/guide/iphone/adjust-how-iphone-responds-to-your-touch-iph77bcdd132/ios#:~:text=Go%20to%20Settings%20%3E%20Accessibility%20%3E%20Touch,then%20turn%20on%20Touch%20Accommodations.&text=to%20adjust%20the%20duration.,before%20a%20swipe%20gesture%20begins.",https://www.youtube.com/watch?v=_TTOhANVkrA&ab_channel=AppleSupport,,,,
38,B,,,,F,,,,,,,,,V,,,,,,,M,,P,I,,,iOS 16 or later,apple_hovertext,Apple,Hover Text,"Hover text lets you see a larger view of the item under the pointer when you hover over something. You can choose a short-key, and when you press the short key, the text under the pointer will be enlarged. You can adjust the size, color, background color, border color, and font of the text that is enlarged.","https://support.apple.com/en-bn/guide/ipad/ipad8c381980/ipados#:~:text=Go%20to%20Settings%20%3E%20Accessibility%20%3E%20Hover,show%20the%20Hover%20Text%20window.",https://www.youtube.com/watch?v=jhUZmkM03uc,,,,
39,B,,,,F,,,,,,W,,,V,,,,,,,,,P,I,,,iOS 18 or later,apple_hovertyping,Apple,Hover Typing,"Hover typing is a function that display words in larger text while you're typing. It appears as a larger, dark, input box with larger text once you start typing with your device. You can adjust the box's position to the top of your screen or around the texting input. You can also adjust the hover typing box's display and color. It helps you see what you're typing in bigger size, or highlight misspelled and autocorrected words.",https://support.apple.com/guide/iphone/view-a-larger-version-text-reading-typing-iphe2449dec8/ios,https://youtu.be/xNVW9TxOXCU,,,,
40,B,,,,F,,,,,,,,,,,,P,,,,,,P,I,,,iOS 12 & Up,apple_ignore_repeat,Apple,Ignore Repeat,"If you have trouble where multiple copies of the same character show up if you don't remove your finger from the key quickly enough you can use this feature to increase the time before key repeat starts.  (Also sometimes called  ""RepeatKeys"".)",https://support.apple.com/guide/iphone/adjust-how-iphone-responds-to-your-touch-iph77bcdd132/ios,https://www.youtube.com/watch?v=_TTOhANVkrA&ab_channel=AppleSupport,,,,
41,B,,,,F,,,,,,,,,V,,,,,,,M,,P,I,,,,apple_increased_contrast,Apple,Increased Contrast,Increased color contrast between app foreground and background colors.,https://support.apple.com/en-us/111773,https://youtu.be/bLwiVig-uAM,,,," iOS 5 or later on iPhones and iPads, and macOS 10.10 or later on Macs. Description should start with name of the feature and maybe more information on what it does."
42,B,,,,F,,,,,,,,,V,,,,,,,M,,P,I,,,"macOS 10.15 or later, iOS 11 or later",apple_classic_invert,Apple,Invert  Classic & Smart,"Classic Invert reverses the colors of all content on the display.
Smart Invert reverses the color of the display, except for images, media and some apps that use dark color styles.",https://support.apple.com/en-us/111773,"https://youtu.be/QqT1-k1mDb4
https://youtu.be/5jYzMmnmeqo",,,,
43,B,,,,F,,,,,,,,,,,H,,,,,,,P,I,,,iOS 15 or later,apple_ledflashalerts,Apple,LED Flash for Alerts,The LED flash beside the camera lens on the back of your iPhone or iPad can blink when your device is locked and you receive a notification. This feature can be helpful for anyone who might miss audible alerts.,https://support.apple.com/en-us/111774,https://www.youtube.com/watch?v=uHZ-De3l6Ek,,,,
44,B,,,,F,,,,,,,,,,,h,,,,,M,,P,I,,,,apple_real_time_captions,Apple,Live Captions (beta),"With Live Captions (beta) on iPhone, you can get a real-time transcription of spoken audio. Use Live Captions to more easily follow the audio in any app, such as FaceTime or Podcasts, and in live conversations around you.",https://support.apple.com/guide/iphone/get-live-captions-of-spoken-audio-iphe0990f7bb/17.0/ios/17.0,https://www.youtube.com/playlist?list=PLIl2EzNYri0cLtSlZowttih25VnSvWITu,,,,"- The description sounds like promotional material
- The YouTube link is a playlist of all iPhone accessibility tools, not specifically Live Captions."
